,store,address,phone
0,성성호수공원DI,"충남 천안시 서북구 성성4길 68 1층, 2층",041.555.8561
1,부산경성대,부산광역시 남구 수영로 315(대연동),051.622.8497
2,김포풍무역,"김포시 유현로 232 에버리치빌딩 1,2층",031.996.8497
3,고양원흥,"경기도 고양시 덕양구 권율대로 504 가림타워오피스텔 101,102호",031.966.8497
4,청담역,"서울시 강남구 영동대로 646, 1층",02.3448.8386
5,영산휴게소,경남 창녕군 영산면 장척호수길 56-110,055.521.2978
6,경북왜관,경북 칠곡군 왜관읍 중앙로 98 1층,054.977.8497
7,삼국유사휴게소,경북 군위군 부계면 치산효령로 989-23,054.383.8778
8,대구장기DI,대구광역시 달서구 장기동 557-1,053.567.8497
9,군위영천휴게소,경북 군위군 산청면 치산효령로 865-43,054.383.8448
10,공릉역,서울특별시 노원구 동일로 191길 7. 1층,02.972.8497
11,세종아름,"세종특별자치시 보듬3로 158, 1층 (아름동, 아름메디컬센터)",070.4833.3366
12,전북부안,전라북도 부안군 부안읍 오리정로 142,063.582.6800
13,청주엘지로DT,"충정북도 청주시 흥덕구 엘지로11, 1,2층(외북동)",043.272.9996
14,광주용전DT,"광주광역시 북구 우치로 948 1,2,3층(용전동)",070.7799.8497
15,영주가흥,경북 영주시 대학로 324,054.636.8497
16,부산하단오거리,"부산광역시 사하구 낙동대로 458, 1,2층",051.293.8897
17,안산휴게소 인천방향,경기 안산시 단원구 선부동 311 1층,031..
18,안산휴게소 강릉방향,경기 안산시 단원구 선부동 311 2층,031..
19,안산휴게소 강릉DT,경기 안산시 단원구 선부동 311,031..
20,충남부여,충남 부여군 부여읍 사비로 108번길 4,041.837.7337
21,대구K병원,"대구광역시 북구 칠곡중앙대로 357, 1층(태전동)",053.201.8497
22,왕십리역사,서울특별시 성동구 왕십리광장로 17. 왕십리민자역사 4층,02.2200.1297
23,울산중앙병원,울산 남구 문수로 472,052.227.8824
24,토성농협,"강원도 고성군 토성면 학사촌길97,1층 파스쿠찌",033.680.4525
25,부산범일,부산광역시 동구 조방로 45 1층 (덕원빌딩),051.633.8497
26,안양1번가,경기도 안양시 만안구 안양로 304번길12 2층,031.465.8497
27,김포운양 DI,경기 김포시 모담공원로167번길 109,031.985.8088
28,구미강동DT,경상북도 구미시 옥계신당로 5안길 37,054.473.8497
29,하남감일DI,경기도 하남시 동남로 451(감일동),02.402.8497
30,전주효자DT,전라북도 전주시 완산구 쑥고개로 285,063.225.7605
31,신림역,"서울특별시 관악구 신림동 1640-8, 1층",02.876.0077
32,전주만성법조타운,전라북도 전주시 덕진구 만성중앙로 17,063.214.1230
33,소노벨변산,전라북도 부안군 변산면 변산해변로 51,063.580.8829
34,인천공항LS 2호점,인천시 중구 공항로 271 인천국제공항 제1여객터미널 3층 H구역,032.743.8576
35,양평휴게소 서울방향,경기 양평군 양동면 여양3로 384-27,031.8027.2191
36,서대문역,서울시 서대문구 충정로 60 KT&G 빌딩 1층,02.6956.8497
37,김포DT,경기 김포시 김포대로 1135,031.984.8497
38,경기광주휴게소 서울방향,경기 광주시 곤지암읍 만삼로 211,031.8027.3945
39,대전문지,대전 유성구 문지로 299번길 86-11,042.862.8497
